 Rotting Fensnake;$0.14
 Runechanter's Pike;$0.41
 Runic Repetition;$0.15
 Scourge of Geier Reach;$0.16
 Screeching Bat;$0.16
 Selfless Cathar;$0.14
 Selhoff Occultist;$0.14
 Sensory Deprivation;$0.14
 Sever the Bloodline;$0.33
 Sharpened Pitchfork;$0.15
 Shimmering Grotto;$0.14
 Silent Departure;$0.14
 Silver-Inlaid Dagger;$0.15
 Silverchase Fox;$0.15
 Skaab Goliath;$0.20
 Skaab Ruinator;$1.19
 Skeletal Grimace;$0.14
 Skirsdag Cultist;$0.16
 Skirsdag High Priest;$0.42
 Slayer of the Wicked;$0.20
 Smite the Monstrous;$0.15
 Snapcaster Mage;$48.50
 Somberwald Spider;$0.14
 Spare from Evil;$0.14
 Spectral Flight;$0.15
 Spectral Rider;$0.19
 Spider Spawning;$0.18
 Spidery Grasp;$0.14
 Splinterfright;$0.38
 Stensia Bloodhall;$0.28
 Stitched Drake;$0.14
 Stitcher's Apprentice;$0.14
 Stony Silence;$9.49
 Stromkirk Noble;$0.76
 Stromkirk Patrol;$0.14
 Sturmgeist;$0.29
 Sulfur Falls;$8.18
 Think Twice;$0.18
 Thraben Purebloods;$0.14
 Thraben Sentry;$0.15
 Tormented Pariah;$0.15
 Traitorous Blood;$0.15
 Travel Preparations;$0.14
 Traveler's Amulet;$0.14
 Tree of Redemption;$2.75
 Trepanation Blade;$0.36
 Tribute to Hunger;$0.25
 Typhoid Rats;$0.17
 Ulvenwald Mystics;$0.16
 Unbreathing Horde;$1.00
 Unburial Rites;$0.36
 Undead Alchemist;$0.95
 Unruly Mob;$0.14
 Urgent Exorcism;$0.14
 Vampire Interloper;$0.14
 Vampiric Fury;$0.14
 Victim of Night;$0.23
 Village Bell-Ringer;$0.15
 Village Cannibals;$0.16
 Village Ironsmith;$0.15
 Villagers of Estwald;$0.15
 Voiceless Spirit;$0.15
 Walking Corpse;$0.14
 Witchbane Orb;$0.67
 Wooden Stake;$0.14
 Woodland Cemetery;$5.13
 Woodland Sleuth;$0.14
 Wreath of Geists;$0.16
