 Pyromancer's Goggles;$2.60
 Rabid Bloodsucker;$0.15
 Ramroller;$0.21
 Ravaging Blaze;$0.24
 Read the Bones;$0.15
 Reave Soul;$0.15
 Reclaim;$0.14
 Reclusive Artificer;$0.21
 Relic Seeker;$0.37
 Returned Centaur;$0.15
 Revenant;$0.21
 Rhox Maulers;$0.15
 Ringwarden Owl;$0.15
 Rogue's Passage;$0.19
 Runed Servitor;$0.20
 Scab-Clan Berserker;$0.40
 Scrapskin Drake;$0.15
 Screeching Skaab;$0.15
 Seismic Elemental;$0.21
 Send to Sleep;$0.15
 Sengir Vampire;$0.39
 Sentinel of the Eternal Watch;$0.21
 Separatist Voidmage;$0.15
 Serra Angel;$0.40
 Shadows of the Past;$0.20
 Shaman of the Pack;$0.36
 Shambling Ghoul;$0.15
 Shivan Dragon;$0.38
 Shivan Reef;$2.45
 Sigil of the Empty Throne;$0.42
 Sigil of Valor;$0.21
 Sigiled Starfish;$0.20
 Skaab Goliath;$0.20
 Skyraker Giant;$0.21
 Skysnare Spider;$0.20
 Smash to Smithereens;$0.15
 Somberwald Alpha;$0.20
 Soulblade Djinn;$0.29
 Sphinx's Tutelage;$1.70
 Stalwart Aven;$0.15
 Starfield of Nyx;$2.25
 Stratus Walk;$0.15
 Subterranean Scout;$0.15
 Suppression Bonds;$0.15
 Swift Reckoning;$0.25
 Sword of the Animist;$1.99
 Sylvan Messenger;$0.22
 Tainted Remedy;$0.62
 Talent of the Telepath;$0.48
 Terra Stomper;$0.59
 The Great Aurora;$1.13
 Thopter Engineer;$0.29
 Thopter Spy Network;$0.59
 Thornbow Archer;$0.15
 Throwing Knife;$0.21
 Thunderclap Wyvern;$0.17
 Timberpack Wolf;$0.15
 Titan's Strength;$0.16
 Titanic Growth;$0.13
 Topan Freeblade;$0.14
 Tormented Thoughts;$0.21
 Totem-Guide Hartebeest;$0.21
 Touch of Moonglove;$0.14
 Tower Geist;$0.20
 Tragic Arrogance;$0.76
 Turn to Frog;$0.17
 Undead Servant;$0.15
 Undercity Troll;$0.21
 Unholy Hunger;$0.15
