 Pore Over the Pages;$0.19
 Port Town;$2.84
 Press for Answers;$0.14
 Prized Amalgam;$3.81
 Puncturing Light;$0.15
 Pyre Hound;$0.15
 Quilled Wolf;$0.16
 Rabid Bite;$0.16
 Rancid Rats;$0.15
 Rattlechains;$1.40
 Ravenous Bloodseeker;$0.16
 Reaper of Flight Moonsilver;$0.22
 Reckless Scholar;$0.20
 Reduce to Ashes;$0.15
 Relentless Dead;$7.63
 Rise from the Tides;$0.22
 Root Out;$0.15
 Rottenheart Ghoul;$0.15
 Runaway Carriage;$0.06
 Rush of Adrenaline;$0.14
 Sage of Ancient Lore;$0.30
 Sanguinary Mage;$0.15
 Sanitarium Skeleton;$0.14
 Scourge Wolf;$0.30
 Seagraf Skaab;$0.15
 Seasons Past;$1.42
 Second Harvest;$0.48
 Senseless Rage;$0.15
 Shamble Back;$0.15
 Shard of Broken Glass;$0.16
 Sigarda, Heron's Grace;$1.58
 Silburlind Snapper;$0.15
 Silent Observer;$0.15
 Silverfur Partisan;$0.66
 Silverstrike;$0.21
 Sin Prodder;$0.61
 Sinister Concoction;$0.19
 Skeleton Key;$0.20
 Skin Invasion;$0.22
 Slayer's Plate;$0.24
 Sleep Paralysis;$0.15
 Solitary Hunter;$0.16
 Sorin, Grim Nemesis;$6.77
 Soul Swallower;$0.29
 Spectral Shepherd;$0.19
 Spiteful Motives;$0.21
 Stallion of Ashmouth;$0.16
 Startled Awake;$1.66
 Stensia Masquerade;$0.20
 Stern Constable;$0.15
 Stitched Mangler;$0.14
 Stitchwing Skaab;$0.20
 Stoic Builder;$0.15
 Stone Quarry;$0.18
 Stormrider Spirit;$0.15
 Strength of Arms;$0.15
 Stromkirk Mentor;$0.15
 Structural Distortion;$0.14
 Survive the Night;$0.15
 Tamiyo's Journal;$0.50
 Tenacity;$0.21
 Thalia's Lieutenant;$2.24
 The Gitrog Monster;$1.96
 Thing in the Ice;$8.67
 Thornhide Wolves;$0.15
 Thraben Gargoyle;$0.17
 Thraben Inspector;$0.24
 Throttle;$0.15
 Tireless Tracker;$4.24
 To the Slaughter;$0.64
 Tooth Collector;$0.21
 Topplegeist;$0.21
 Tormenting Voice;$0.14
 Town Gossipmonger;$0.21
 Trail of Evidence;$0.20
 Traverse the Ulvenwald;$3.55
 Triskaidekaphobia;$0.67
 True-Faith Censer;$0.15
 Twins of Maurer Estate;$0.15
 Ulrich's Kindred;$0.22
 Ulvenwald Hydra;$1.42
 Ulvenwald Mysteries;$0.19
 Uncaged Fury;$0.15
 Uninvited Geist;$0.20
 Unruly Mob;$0.15
 Vampire Noble;$0.16
 Vessel of Ephemera;$0.15
 Vessel of Malignity;$0.15
 Vessel of Nascency;$0.17
 Vessel of Paramnesia;$0.16
 Vessel of Volatility;$0.15
 Veteran Cathar;$0.19
 Village Messenger;$0.52
 Voldaren Duelist;$0.15
 Warped Landscape;$0.15
 Watcher in the Web;$0.15
 Weirding Wood;$0.15
 Welcome to the Fold;$0.29
 Westvale Abbey;$3.30
 Wicker Witch;$0.15
 Wild-Field Scarecrow;$0.21
 Wolf of Devil's Breach;$0.68
 Woodland Stream;$0.19
